iso3,transition,year,status,cell_area_sum_km2,cell_area_max_km2,natural_loss_sum_km2,natural_loss_max_km2,weight_sum,bfnee_sum_km2,bfnee_max_km2,expected_bfnee_sum_km2,ratio_bf_to_loss,suspicious_old_scale
AFG,1995_2000,2000,ok,662284.3865232468,74.42890167236328,10492.749006522085,70.71268463134766,0.008475552140925073,88.93184139251886,0.5993290543556213,88.93184130641768,0.00847555214913085,FALSE
AFG,2000_2005,2005,ok,662284.3865232468,74.42890167236328,18238.969076513014,73.3038101196289,0.010484466388432138,191.22585837096295,0.7685513496398926,191.22585824235387,0.010484466395483474,FALSE
AFG,2005_2010,2010,ok,662284.3865232468,74.42890167236328,5769.198545846817,69.48021697998047,0.006938131950478575,40.02746078132928,0.4820629060268402,40.02746075959434,0.006938131954245987,FALSE
AFG,2010_2015,2015,ok,662284.3865232468,74.42890167236328,3900.026916521397,71.4128189086914,8.90727804762877e-4,3.473862403244977,0.06360938400030136,3.473862413869236,8.907278020387268e-4,FALSE
AGO,1995_2000,2000,ok,1271964.1719856262,85.2219009399414,496242.8694622711,84.87846374511719,5.705076166169404e-4,283.110336845603,0.04842381179332733,283.11033672007176,5.705076168699037e-4,FALSE
AGO,2000_2005,2005,ok,1271964.1719856262,85.2219009399414,62394.92778112227,85.04515075683594,4.897857433992796e-4,30.560146079243175,0.04165390133857727,30.560146087621334,4.897857432650033e-4,FALSE
AGO,2005_2010,2010,ok,1271964.1719856262,85.2219009399414,47942.18426445392,84.98479461669922,6.098519863845958e-4,29.237636284565188,0.05182814598083496,29.237636305293535,6.098519859522345e-4,FALSE
AGO,2010_2015,2015,ok,1271964.1719856262,85.2219009399414,38421.67840614815,84.96778869628906,4.4056889993456475e-5,1.6927396609260041,0.003743416629731655,1.6927396589036312,4.405689004609272e-5,FALSE
ALB,1995_2000,2000,ok,31434.0199483037,65.7605972290039,1076.184821979377,26.513330459594727,0.032930626459168416,35.43944028817919,0.8731005787849426,35.43944037362952,0.03293062637976725,FALSE
ALB,2000_2005,2005,ok,31434.0199483037,65.7605972290039,621.939917194507,45.004722595214844,0.05980885105724421,37.19751185333203,2.691680669784546,37.19751187404106,0.05980885102394673,FALSE
ALB,2005_2010,2010,ok,31434.0199483037,65.7605972290039,995.1231392053887,62.68761444091797,0.015365956489774719,15.291018912615527,0.9632551670074463,15.291018858998035,0.015365956543654979,FALSE
ALB,2010_2015,2015,ok,31434.0199483037,65.7605972290039,660.0124658958521,47.15962219238281,0.00352439834187006,2.326146844360583,0.16620929539203644,2.3261468404169103,0.003524398347845208,FALSE
ARE,1995_2000,2000,ok,80621.49739074707,78.902099609375,1770.6760028570716,67.0101547241211,0.004449926617263956,7.879378277148835,0.29819026589393616,7.879378275664231,0.0044499266181023955,FALSE
ARE,2000_2005,2005,ok,80621.49739074707,78.902099609375,288.0376414696334,18.5269775390625,0.01583945695819782,4.562359817518207,0.2934572696685791,4.562359824399074,0.01583945693430904,FALSE
ARE,2005_2010,2010,ok,80621.49739074707,78.902099609375,309.0856630854746,29.201793670654297,0.01029539730543343,3.1821596792288718,0.30064406991004944,3.1821597028783004,0.010295397228919274,FALSE
ARE,2010_2015,2015,ok,80621.49739074707,78.902099609375,255.3067335113592,43.23817825317383,0.005552837107818654,1.4176766935287333,0.24009455740451813,1.4176767037178437,0.0055528370679093645,FALSE
ARG,1995_2000,2000,ok,2801340.420749545,79.32579803466797,270010.5957973192,79.04402923583984,0.016764012132477656,4526.460903441521,1.3250950574874878,4526.460903843779,0.016764012130987868,FALSE
ARG,2000_2005,2005,ok,2801340.420749545,79.32579803466797,149390.00611728942,77.283782958984375,0.01548241935497338,2312.918720357692,1.1965398788452148,2312.9187221499133,0.015482419342976452,FALSE
ARG,2005_2010,2010,ok,2801340.420749545,79.32579803466797,109450.63971717701,78.97290802001953,0.011231270589147664,1229.2697509513341,0.8869661092758179,1229.2697508189274,0.011231270590357403,FALSE
ARG,2010_2015,2015,ok,2801340.420749545,79.32579803466797,80137.148729334,78.67790985107422,0.00670726091240161,537.5007649486936,0.5277132987976074,537.5007653035763,0.006707260907973168,FALSE
ARM,1995_2000,2000,ok,33205.61908888817,66.54789733886719,890.2004309529439,36.48007583618164,6.308717287773343e-4,0.5616022879950733,0.0230142492800951,0.5616022848336117,6.308717323287385e-4,FALSE
ARM,2000_2005,2005,ok,33205.61908888817,66.54789733886719,633.36926312583455,55.58067321777344,0.0013154719979001472,0.8331795344453543,0.07311481982469559,0.8331795299726856,0.001315472004961855,FALSE
ARM,2005_2010,2010,ok,33205.61908888817,66.54789733886719,287.05724544783516,26.72640037536621,5.620404649021007e-4,0.1613377878137642,0.015021318569779396,0.16133778768501772,5.620404653506054e-4,FALSE
ARM,2010_2015,2015,ok,33205.61908888817,66.54789733886719,493.6595661694928,61.1710319519043,0.001211523985659567,0.5980804068155625,0.07411017268896103,0.5980804051646366,0.001211523989003827,FALSE
AUS,1995_2000,2000,ok,7776417.06126821,84.14929962158203,353767.5046373654,78.5822525024414,0.014609465236458273,5168.354059802104,1.1480447053909302,5168.3540607881805,0.014609465233670915,FALSE
AUS,2000_2005,2005,ok,7776417.06126821,84.14929962158203,224293.76524448014,76.20234680175781,0.01695626892298909,3803.1854018266667,1.2921074628829956,3803.185401235189,0.01695626892562616,FALSE
AUS,2005_2010,2010,ok,7776417.06126821,84.14929962158203,158177.89474732586,78.0998764038086,0.007790474376745028,1232.2808359498708,0.6084350943565369,1232.280835996514,0.00779047437645015,FALSE
AUS,2010_2015,2015,ok,7776417.06126821,84.14929962158203,136324.42750574707,73.89543151855469,0.005103477907342629,695.728703980608,0.37712371349334717,695.7287040067121,0.0051034779071511445,FALSE
AUT,1995_2000,2000,ok,91391.11257660389,58.88589859008789,2538.048080153182,56.47555160522461,0.11506020540679444,292.02833328495024,6.498088359832764,292.02833343474543,0.1150602053477746,FALSE
AUT,2000_2005,2005,ok,91391.11257660389,58.88589859008789,2003.4570275871547,58.02108383178711,0.11155862446373235,223.50290981233218,6.472752094268799,223.50291016982086,0.11155862428529643,FALSE
AUT,2005_2010,2010,ok,91391.11257660389,58.88589859008789,1421.6457378905752,58.181148529052734,0.16005524384666767,227.54185418602432,9.3121976852417,227.5418552416518,0.1600552431041286,FALSE
AUT,2010_2015,2015,ok,91391.11257660389,58.88589859008789,1173.7209960138316,51.23528289794922,0.14944349909329074,175.4049725990001,7.656779766082764,175.40497260356935,0.14944349908939777,FALSE
AZE,1995_2000,2000,ok,93976.89897716045,66.9363021850586,2993.195098348602,33.138607025146484,0.0029658011942882453,8.877221603158265,0.09828252345323563,8.877221597420005,0.002965801196205347,FALSE
